id,Created (UTC),Amount,Currency,Amount Refunded,Description,Customer Name,Customer Email,Customer Phone,Billing Address 1,Billing City,Billing State,Billing Zip,Payment Method Type,Card Brand,Card Last4,Receipt Number,Status,Fee,Net,Metadata[campaign],Metadata[fund],Metadata[utm_source],Metadata[utm_campaign],Balance Transaction
ch_s9tj1gm25len,2025-04-20 06:57:51,2500,usd,0,One-time contribution,Renee White,renee.white@example.org,826.869.9666,"4679 Maple Dr, Unit 953",Miami,FL,33130,card,,4060,9129-825686,succeeded,55,2445,Monthly Sustainers,Scholarship Fund,,year-end,txn_20cv3tlcxlvp
ch_98cwn2y8fv2b,2025-06-17 12:39:19,3500,usd,0,Donation,Harper Kim,harper.kim@mail.example,(686) 825-2193,5095 Cedar Ln,Nashville,TN,37203,ach_credit_transfer,amex,1530,3513-812048,succeeded,112,3388,Monthly Sustainers,Scholarship Fund,instagram,,txn_1utoxie0rnuj
ch_re4q6qdy4lmc,2025-11-01 10:06:28,7500,usd,0,Monthly gift,Elijah Garcia,elijah.garcia@example.com,(873) 797-9565,"4043 Lakeview Ave, Unit 140",San Diego,CA,92101,us_bank_account,,3852,6922-633469,succeeded,218,7282,Giving Tuesday 2025,General Operating,newsletter,giving-tuesday,txn_irmuq9e5cozr
ch_xqym52xg8p6b,2025-11-26 17:07:59,7500,usd,7500,Donation,Kenji Garcia,kenji.garcia@mail.example,767.330.4143,"8318 Pine St, Apt 27",Seattle,WA,98101,ach_credit_transfer,mastercard,4694,6669-644103,refunded,195,-195,Year-End Appeal 2025,General Operating,instagram,giving-tuesday,txn_wtektsg7fxzv
ch_1jhuwb6txki3,2025-02-16 23:57:31,12500,usd,0,One-time contribution,Willow Creek Church,donations@willowcreekchurch.example,(665) 534-6529,"7574 Maple Dr, Apt 4",Denver,CO,80202,us_bank_account,visa,7809,8933-587002,succeeded,305,12195,Giving Tuesday 2025,Scholarship Fund,,giving-tuesday,txn_lz049enulqji
ch_5flul1rsrla8,2025-02-20 15:40:31,4000,usd,0,One-time contribution,D’Andre Moore,dandre.moore+donor@example.org,+1-810-679-9669,2514 Maple Dr,Charlotte,NC,28202,ach_credit_transfer,amex,5609,9108-726543,succeeded,128,3872,Monthly Sustainers,Scholarship Fund,,spring25,txn_4p501nouhtcs
ch_9o2m71hssbel,2025-05-20 15:11:08,30000,usd,0,One-time contribution,Bright Horizons LLC,donations@brighthorizonsllc.example,285.858.8022,"8761 Main St, Unit 706",Denver,CO,80202,card,mastercard,6218,3662-512042,succeeded,960,29040,Year-End Appeal 2025,Capital Improvements,instagram,,txn_zk3ny9v20yar
ch_vgww4fyb8dal,2025-12-02 01:11:38,500000,usd,0,Online donation,Greenway Landscaping Co.,donations@greenwaylandscapingco.example,(907) 842-4978,9443 Hillcrest Rd,Seattle,WA,98101,card,discover,8726,2020-840058,succeeded,16030,483970,Community Care Fund,Capital Improvements,newsletter,year-end,txn_9rn8qtty5y2j
ch_9kkhzlm72jey,2025-04-16 16:01:54,150000,usd,0,One-time contribution,Jun Jackson,jun.jackson@example.com,636.761.8305,9765 Sunset Blvd,Raleigh,NC,27601,card,mastercard,5712,2294-463188,succeeded,4800,145200,Monthly Sustainers,Scholarship Fund,direct,giving-tuesday,txn_ht7zewviytwb
ch_t7o75rh8lx6d,2025-06-09 06:33:34,12500,usd,0,Online donation,Kenji Garcia,kenji.garcia@mail.example,767.330.4143,"8318 Pine St, Apt 27",Seattle,WA,98101,card,,3880,1595-976822,succeeded,430,12070,Emergency Relief,Emergency Relief,newsletter,year-end,txn_5aud9k9tr74q
ch_zamkygvwoplo,2025-12-12 02:41:30,2000,usd,0,Donation,Omar Hernández,OMAR.HERNANDEZ@EXAMPLE.ORG,311.454.4139,"7661 Main St, Apt 7",Columbus,OH,43215,ach_credit_transfer,,5064,1111-373453,succeeded,64,1936,Emergency Relief,Program: Childcare Grants,direct,year-end,txn_8k0axycelos6
ch_8rq9nz61231y,2025-10-27 01:58:21,3000,usd,0,Donation,Jun Lewis,jun.lewis@example.com,(551) 408-5325,"9074 Maple Dr, Unit 388",Charlotte,NC,28202,card,amex,2838,2011-969032,succeeded,87,2913,Giving Tuesday 2025,Capital Improvements,,giving-tuesday,txn_f4pyzr6qceou
ch_30ubmc97c7bo,2025-07-30 13:40:41,20000,usd,0,Online donation,Bright Horizons LLC,donations@brighthorizonsllc.example,285.858.8022,"8761 Main St, Unit 706",Denver,CO,80202,card,discover,7184,7154-184148,succeeded,670,19330,Community Care Fund,Scholarship Fund,google,giving-tuesday,txn_9oe9419qzpni
ch_xw76icvqy5ib,2025-06-15 10:26:33,2500,usd,0,One-time contribution,Fatima Adams,fatima.adams@example.org,912.730.8611,100 Oak Ave,Denver,CO,80202,ach_credit_transfer,visa,5739,4836-955413,succeeded,110,2390,Gala & Auction 2025,Capital Improvements,,year-end,txn_i59sojuv0gyu
ch_okgtii4fqcoo,2025-06-14 18:10:43,250000,usd,0,Online donation,Mia Moore,mia.moore@mail.example,+1-886-473-2169,4564 River Rd,Columbus,OH,43215,card,mastercard,2295,8369-988283,succeeded,8000,242000,Gala & Auction 2025,General Operating,,giving-tuesday,txn_bnvbc2vyhh6k
ch_zzoilkqxlm5q,2025-04-24 06:11:29,75000,usd,0,One-time contribution,Lucas Patel,lucas.patel@mail.example,(438) 717-1434,1434 Lakeview Ave,Raleigh,NC,27601,us_bank_account,,7781,1749-689849,succeeded,2400,72600,Giving Tuesday 2025,Program: Childcare Grants,google,year-end,txn_tvzkhiuit7m1
ch_mftg698s4c3b,2025-11-09 00:02:55,5000,usd,0,Donation,Omar Chen,omar.chen@mail.example,440.478.6502,7949 Cedar Ln,Raleigh,NC,27601,card,mastercard,3474,1149-329344,succeeded,175,4825,Monthly Sustainers,Scholarship Fund,google,,txn_xatoaztkszp7
ch_s3jonou9iy4x,2025-03-14 13:27:55,30000,usd,0,Donation,Ava Garcia,ava.garcia@example.com,(335) 940-8744,"8433 Cedar Ln, Apt 18",Charlotte,NC,28202,card,discover,1919,1154-836986,succeeded,690,29310,Community Care Fund,General Operating,direct,,txn_xl9967i6yuj7
ch_hf337kuu4ytn,2025-08-30 21:24:46,1000,usd,0,Online donation,Aria Taylor,aria.taylor@mail.example,+1-776-302-2200,"7501 Sunset Blvd, Apt 5",Seattle,WA,98101,card,amex,8161,4803-979414,succeeded,22,978,Back-to-School Drive,Scholarship Fund,,,txn_8lw2qitngvn1
ch_zw0ldalmjegq,2025-12-07 22:24:48,1500,usd,0,One-time contribution,Renee White,renee.white@example.org,826.869.9666,"4679 Maple Dr, Unit 953",Miami,FL,33130,card,amex,6315,7311-112940,succeeded,33,1467,Year-End Appeal 2025,Emergency Relief,direct,spring25,txn_0u9isygjjfgj
ch_rwqeao4n5pp3,2025-08-08 01:21:46,20000,usd,0,Online donation,Jun Lewis,jun.lewis@example.com,(551) 408-5325,"9074 Maple Dr, Unit 388",Charlotte,NC,28202,us_bank_account,mastercard,3910,7524-434640,succeeded,610,19390,Year-End Appeal 2025,Emergency Relief,,giving-tuesday,txn_lk2n7h9g1a07
ch_fkjfpnqvut75,2025-07-21 06:41:46,50000,usd,0,One-time contribution,Marisol Chen,marisol.chen@example.org,215.295.4872,7270 Broadway,Charlotte,NC,28202,card,amex,9796,2392-214682,succeeded,1100,48900,Giving Tuesday 2025,Scholarship Fund,newsletter,spring25,txn_uxx8l2ddh0uy
