Transaction #,Order date,Supporter First name,Supporter Last name,Supporter full name,Supporter email,Supporter phone,Street address,City,State/Province,Postal code,Country,Contribution type,Campaign / Event,Item name,Quantity,Donation $,Tip $,Total charged,Payment method,Card last4,Status,Custom Q: How did you hear about us?,Marketing opt-in
ZF-897305,10/04/2025,Evelyn,Clark,Evelyn Clark,evelyn.clark@example.org,743.361.1931,"946 Main St, Unit 588",Miami,FL,33130,US,Membership,Back-to-School Drive,5K Registration,2,$70.00,10,80.00 USD,card,,Refunded,Friend,TRUE
ZF-739098,03/29/2025,Mary-Kate,Anderson,Mary-Kate Anderson,mary-kate.anderson@mail.example,+1-652-891-4501,7053 Lakeview Ave,Nashville,TN,37203,US,Ticket,Emergency Relief,Annual Membership,4,200,0,200.00 USD,Apple Pay,5161,Paid,Event,TRUE
ZF-413685,05/23/2025,Fatima,Adams,Fatima Adams,fatima.adams@example.org,912.730.8611,100 Oak Ave,Denver,CO,80202,US,Ticket,Emergency Relief,Annual Membership,1,$120.00,5,125,Apple Pay,8916,Failed,Friend,FALSE
ZF-693419,09/12/2025,Chloé,Scott,Chloé Scott,chloe.scott@test.org,540.621.5065,2672 Maple Dr,Nashville,TN,37203,US,Membership,Spring Fundraiser 2025,Annual Membership,3,105,10,115,ACH,4770,Paid,Google search,TRUE
ZF-562236,09/30/2025,Omar,Hernández,Omar Hernández,OMAR.HERNANDEZ@EXAMPLE.ORG,311.454.4139,"7661 Main St, Apt 7",Columbus,OH,43215,US,Membership,Spring Fundraiser 2025,Annual Membership,2,$70.00,0,70.00 USD,ACH,7807,Paid,Instagram,FALSE
ZF-409478,08/26/2025,Check Donor,,Check Donor,,,"4435 Lakeview Ave, Apt 35",,,27601,US,Membership,Gala & Auction 2025,Gala Ticket,2,$150.00,15,165.00 USD,Apple Pay,7511,Refunded,Google search,TRUE
ZF-805000,02/06/2025,Instagram Supporter,,Instagram Supporter,,,,,NC,28202,US,Membership,Year-End Appeal 2025,Annual Membership,1,$120.00,5,125,ACH,,Paid,Instagram,
ZF-222343,09/25/2025,Check Donor,,Check Donor,,,"4435 Lakeview Ave, Apt 35",,,27601,US,Ticket,Community Care Fund,Gala Ticket,1,120,3,123.00 USD,card,,Paid,Instagram,FALSE
ZF-974190,10/19/2025,Harper,Brown,Harper Brown,harper.brown@test.org,608.536.5564,5738 Pine St,Phoenix,AZ,85004,US,Donation,Monthly Sustainers,General Donation,1,20,10,30,ACH,,Paid,Email newsletter,FALSE
ZF-389282,12/30/2025,Evelyn,Clark,Evelyn Clark,evelyn.clark@example.org,743.361.1931,"946 Main St, Unit 588",Miami,FL,33130,US,Membership,Giving Tuesday 2025,Gala Ticket,1,75,5,80,card,1349,Paid,Friend,TRUE
ZF-344316,12/03/2025,Renee,Brown,Renee Brown,renee.brown@mail.example,(219) 314-6947,"2656 Broadway, Unit 100",Miami,FL,33130,US,Ticket,Gala & Auction 2025,Gala Ticket,1,50,2,52,ACH,3370,Paid,Instagram,TRUE
ZF-116547,10/15/2025,Jun,Nguyen,Jun Nguyen,jun.nguyen@example.com,(939) 936-5315,"1837 Pine St, Apt 28",Miami,FL,33130,US,Donation,Community Care Fund,General Donation,1,$35.00,2,37.00 USD,card,2041,Paid,Event,
